rank	word	count	level	source	flags
208	งอ	14148624	pre-a1	phupha-wordfreq	pythainlp|short-token-review
209	ยู	14127298	pre-a1	phupha-wordfreq	pythainlp|short-token-review
210	ลี	14025203	pre-a1	phupha-wordfreq	pythainlp|short-token-review
211	ถึง	13967227	pre-a1	phupha-wordfreq	pythainlp
212	สำหรับ	13932909	pre-a1	phupha-wordfreq	pythainlp
213	โป	13786471	pre-a1	phupha-wordfreq	pythainlp|short-token-review
214	กี	13693672	pre-a1	phupha-wordfreq	pythainlp|short-token-review
215	ลัง	13691767	pre-a1	phupha-wordfreq	pythainlp
216	จร	13660126	pre-a1	phupha-wordfreq	pythainlp|short-token-review
217	มร	13657758	pre-a1	phupha-wordfreq	pythainlp|short-token-review
218	ชิ	13577043	pre-a1	phupha-wordfreq	pythainlp|short-token-review
219	ชี	13524521	pre-a1	phupha-wordfreq	pythainlp|short-token-review
220	ยัง	13330241	pre-a1	phupha-wordfreq	pythainlp
221	องค	13302353	pre-a1	phupha-wordfreq	pythainlp
222	นะ	13226182	pre-a1	phupha-wordfreq	pythainlp|short-token-review
223	โน	13214499	pre-a1	phupha-wordfreq	pythainlp|short-token-review
224	ขึ้น	13171562	pre-a1	phupha-wordfreq	pythainlp
225	ชน	13087774	pre-a1	phupha-wordfreq	pythainlp|short-token-review
226	ลาย	13064965	pre-a1	phupha-wordfreq	pythainlp
227	ใหม่	13038350	pre-a1	phupha-wordfreq	pythainlp
228	กอ	13016876	pre-a1	phupha-wordfreq	pythainlp|short-token-review
229	มต	12982836	pre-a1	phupha-wordfreq	pythainlp|short-token-review
230	ค่า	12813830	pre-a1	phupha-wordfreq	pythainlp
231	ชื่อ	12770118	pre-a1	phupha-wordfreq	pythainlp
232	น้า	12665972	pre-a1	phupha-wordfreq	pythainlp
233	นุ	12647592	pre-a1	phupha-wordfreq	pythainlp|short-token-review
234	มน	12540742	pre-a1	phupha-wordfreq	pythainlp|short-token-review
235	หน้า	12470836	pre-a1	phupha-wordfreq	pythainlp
236	ปี	12415423	pre-a1	phupha-wordfreq	pythainlp|short-token-review
237	ท่า	12362991	pre-a1	phupha-wordfreq	pythainlp
238	ตาม	12338120	pre-a1	phupha-wordfreq	pythainlp
239	เพิ่ม	12307480	pre-a1	phupha-wordfreq	pythainlp
240	เลือก	12305891	pre-a1	phupha-wordfreq	pythainlp
241	รด	12282077	pre-a1	phupha-wordfreq	pythainlp|short-token-review
242	กำ	12259262	pre-a1	phupha-wordfreq	pythainlp|short-token-review
243	นั้น	12248552	pre-a1	phupha-wordfreq	pythainlp
244	จัด	12247590	pre-a1	phupha-wordfreq	pythainlp
245	มิ	12136618	pre-a1	phupha-wordfreq	pythainlp|short-token-review
246	วร	12073381	pre-a1	phupha-wordfreq	pythainlp|short-token-review
247	ไซ	11908661	pre-a1	phupha-wordfreq	pythainlp|short-token-review
248	พัน	11888895	pre-a1	phupha-wordfreq	pythainlp
249	สอ	11833219	pre-a1	phupha-wordfreq	pythainlp|short-token-review
250	หลา	11729964	pre-a1	phupha-wordfreq	pythainlp
251	ติด	11663912	pre-a1	phupha-wordfreq	pythainlp
252	งบ	11627044	pre-a1	phupha-wordfreq	pythainlp|short-token-review
253	โปร	11552335	pre-a1	phupha-wordfreq	pythainlp
254	พร้อม	11547212	pre-a1	phupha-wordfreq	pythainlp
255	นำ	11510405	pre-a1	phupha-wordfreq	pythainlp|short-token-review
256	แก	11486776	pre-a1	phupha-wordfreq	pythainlp|short-token-review
257	นบ	11468166	pre-a1	phupha-wordfreq	pythainlp|short-token-review
258	เย	11462083	pre-a1	phupha-wordfreq	pythainlp|short-token-review
259	น้ำ	11445305	pre-a1	phupha-wordfreq	pythainlp
260	ลก	11362169	pre-a1	phupha-wordfreq	pythainlp|short-token-review
261	หมา	11299421	pre-a1	phupha-wordfreq	pythainlp
262	โม	11266721	pre-a1	phupha-wordfreq	pythainlp|short-token-review
263	ยู่	11185424	pre-a1	phupha-wordfreq	pythainlp
264	โล	11170647	pre-a1	phupha-wordfreq	pythainlp|short-token-review
265	อยู่	11169954	pre-a1	phupha-wordfreq	pythainlp
266	ตรง	11145668	pre-a1	phupha-wordfreq	pythainlp
267	รวม	11114052	pre-a1	phupha-wordfreq	pythainlp
268	ไร	11007690	pre-a1	phupha-wordfreq	pythainlp|short-token-review
269	นย	10983360	pre-a1	phupha-wordfreq	pythainlp|short-token-review
270	ราค	10968973	pre-a1	phupha-wordfreq	pythainlp
271	ฟรี	10884573	pre-a1	phupha-wordfreq	pythainlp
272	มูล	10861025	pre-a1	phupha-wordfreq	pythainlp
273	ส่วน	10849124	pre-a1	phupha-wordfreq	pythainlp
274	บุ	10833525	pre-a1	phupha-wordfreq	pythainlp|short-token-review
275	ตก	10788659	pre-a1	phupha-wordfreq	pythainlp|short-token-review
276	โอ	10742782	pre-a1	phupha-wordfreq	pythainlp|short-token-review
277	สด	10729701	pre-a1	phupha-wordfreq	pythainlp|short-token-review
278	รบ	10667415	pre-a1	phupha-wordfreq	pythainlp|short-token-review
279	สิน	10647990	pre-a1	phupha-wordfreq	pythainlp
280	ดก	10626128	pre-a1	phupha-wordfreq	pythainlp|short-token-review
281	สาร	10541197	pre-a1	phupha-wordfreq	pythainlp
282	ผ่า	10514134	pre-a1	phupha-wordfreq	pythainlp
283	ลอด	10506973	pre-a1	phupha-wordfreq	pythainlp
284	คม	10482820	pre-a1	phupha-wordfreq	pythainlp|short-token-review
285	ล่า	10345490	pre-a1	phupha-wordfreq	pythainlp
286	สต	10244159	pre-a1	phupha-wordfreq	pythainlp|short-token-review
287	กรร	10227829	pre-a1	phupha-wordfreq	pythainlp
288	ไซต์	10200331	pre-a1	phupha-wordfreq	pythainlp
